"","phenotype","mean","sd","Test.Model","True.Model","MAF","Power","ES","R2","ES_AB","ES_BB","N_total_at_Alpha_5e-08"
"15","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.15,0.8,0.65,0.00590914652407899,0.65,1.3,6681.82264504493
"16","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.16,0.8,0.65,0.00622893563008797,0.65,1.3,6337.76403405244
"17","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.17,0.8,0.65,0.00653945548664741,0.65,1.3,6035.87908709466
"18","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.18,0.8,0.65,0.00684070609375732,0.65,1.3,5769.19747639266
"19","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.19,0.8,0.65,0.0071326874514177,0.65,1.3,5532.21905364312
"20","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.2,0.8,0.65,0.00741539955962853,0.65,1.3,5320.54646795095
"21","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.21,0.8,0.65,0.00768884241838984,0.65,1.3,5130.62276185835
"22","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.22,0.8,0.65,0.0079530160277016,0.65,1.3,4959.54054432582
"23","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.23,0.8,0.65,0.00820792038756383,0.65,1.3,4804.90095747668
"24","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.24,0.8,0.65,0.00845355549797653,0.65,1.3,4664.70791501613
"25","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.25,0.8,0.65,0.00868992135893969,0.65,1.3,4537.28773747928
"26","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.26,0.8,0.65,0.00891701797045331,0.65,1.3,4421.22734797175
"27","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.27,0.8,0.65,0.0091348453325174,0.65,1.3,4315.32621778277
"28","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.28,0.8,0.65,0.00934340344513195,0.65,1.3,4218.55862586907
"29","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.29,0.8,0.65,0.00954269230829697,0.65,1.3,4130.04374422401
"30","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.3,0.8,0.65,0.00973271192201245,0.65,1.3,4049.02172478842
"31","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.31,0.8,0.65,0.00991346228627839,0.65,1.3,3974.8344345331
"32","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.32,0.8,0.65,0.0100849434010948,0.65,1.3,3906.90982391597
"33","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.33,0.8,0.65,0.0102471552664617,0.65,1.3,3844.74916013694
"34","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.34,0.8,0.65,0.010400097882379,0.65,1.3,3787.91653772033
"35","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.35,0.8,0.65,0.0105437712488468,0.65,1.3,3736.03021350825
"36","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.36,0.8,0.65,0.0106781753658651,0.65,1.3,3688.75541410419
"37","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.37,0.8,0.65,0.0108033102334338,0.65,1.3,3645.79834025736
"38","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.38,0.8,0.65,0.010919175851553,0.65,1.3,3606.90115106033
"39","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.39,0.8,0.65,0.0110257722202227,0.65,1.3,3571.83775579237
"40","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.4,0.8,0.65,0.0111230993394428,0.65,1.3,3540.41027617716
"41","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.41,0.8,0.65,0.0112111572092134,0.65,1.3,3512.44606911819
"42","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.42,0.8,0.65,0.0112899458295344,0.65,1.3,3487.79522155053
"43","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.43,0.8,0.65,0.011359465200406,0.65,1.3,3466.32844614215
"44","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.44,0.8,0.65,0.0114197153218279,0.65,1.3,3447.93532036836
"45","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.45,0.8,0.65,0.0114706961938004,0.65,1.3,3432.5228225478
"46","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.46,0.8,0.65,0.0115124078163233,0.65,1.3,3420.01412753645
"47","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.47,0.8,0.65,0.0115448501893967,0.65,1.3,3410.34763229759
"48","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.48,0.8,0.65,0.0115680233130205,0.65,1.3,3403.47618784939
"49","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.49,0.8,0.65,0.0115819271871948,0.65,1.3,3399.36651948343
"50","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.5,0.8,0.65,0.0115865618119196,0.65,1.3,3397.99882182624
"51","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.01,0.8,0.65,0.00068914511104852,0.65,1.3,57444.1304703455
"52","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.02,0.8,0.65,0.00136436809864151,0.65,1.3,29005.3449527882
"53","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.03,0.8,0.65,0.00202566896277898,0.65,1.3,19529.7783491879
"54","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.04,0.8,0.65,0.00267304770346093,0.65,1.3,14795.1109609574
"55","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.05,0.8,0.65,0.00330650432068734,0.65,1.3,11956.882030034
"56","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.06,0.8,0.65,0.00392603881445823,0.65,1.3,10066.9407628101
"57","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.07,0.8,0.65,0.0045316511847736,0.65,1.3,8718.9393413411
"58","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.08,0.8,0.65,0.00512334143163344,0.65,1.3,7709.70618348539
"59","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.09,0.8,0.65,0.00570110955503776,0.65,1.3,6926.37036998847
"60","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.1,0.8,0.65,0.00626495555498654,0.65,1.3,6301.21142215158
"61","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.11,0.8,0.65,0.00681487943147981,0.65,1.3,5791.13648014013
"62","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.12,0.8,0.65,0.00735088118451755,0.65,1.3,5367.4188988053
"63","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.13,0.8,0.65,0.00787296081409976,0.65,1.3,5010.17288276724
"64","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.14,0.8,0.65,0.00838111832022645,0.65,1.3,4705.19614167631
"65","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.15,0.8,0.65,0.00887535370289761,0.65,1.3,4442.07549005827
"66","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.16,0.8,0.65,0.00935566696211324,0.65,1.3,4213.00285401809
"67","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.17,0.8,0.65,0.00982205809787335,0.65,1.3,4012.00916486888
"68","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.18,0.8,0.65,0.0102745271101779,0.65,1.3,3834.45362866006
"69","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.19,0.8,0.65,0.010713073999027,0.65,1.3,3676.67428633832
"70","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.2,0.8,0.65,0.0111376987644205,0.65,1.3,3535.74341341641
"71","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.21,0.8,0.65,0.0115484014063585,0.65,1.3,3409.29281329838
"72","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.22,0.8,0.65,0.011945181924841,0.65,1.3,3295.38676602775
"73","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.23,0.8,0.65,0.012328040319868,0.65,1.3,3192.42812935908
"74","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.24,0.8,0.65,0.0126969765914394,0.65,1.3,3099.08792346135
"75","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.25,0.8,0.65,0.0130519907395553,0.65,1.3,3014.25182464824
"76","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.26,0.8,0.65,0.0133930827642157,0.65,1.3,2936.97901654334
"77","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.27,0.8,0.65,0.0137202526654205,0.65,1.3,2866.47019581744
"78","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.28,0.8,0.65,0.0140335004431699,0.65,1.3,2802.04244482635
"79","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.29,0.8,0.65,0.0143328260974637,0.65,1.3,2743.10931466363
"80","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.3,0.8,0.65,0.0146182296283019,0.65,1.3,2689.16490399715
"81","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.31,0.8,0.65,0.0148897110356847,0.65,1.3,2639.77103262848
"82","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.32,0.8,0.65,0.0151472703196119,0.65,1.3,2594.54683412325
"83","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.33,0.8,0.65,0.0153909074800836,0.65,1.3,2553.1602558031
"84","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.34,0.8,0.65,0.0156206225170998,0.65,1.3,2515.32107496925
"85","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.35,0.8,0.65,0.0158364154306604,0.65,1.3,2480.77512980101
"86","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.36,0.8,0.65,0.0160382862207656,0.65,1.3,2449.29953060596
"87","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.37,0.8,0.65,0.0162262348874152,0.65,1.3,2420.69866798106
"88","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.38,0.8,0.65,0.0164002614306092,0.65,1.3,2394.80087332695
"89","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.39,0.8,0.65,0.0165603658503478,0.65,1.3,2371.45561708928
"90","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.4,0.8,0.65,0.0167065481466308,0.65,1.3,2350.53115335357
"91","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.41,0.8,0.65,0.0168388083194583,0.65,1.3,2331.91253760657
"92","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.42,0.8,0.65,0.0169571463688302,0.65,1.3,2315.49995882162
"93","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.43,0.8,0.65,0.0170615622947467,0.65,1.3,2301.20733843759
"94","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.44,0.8,0.65,0.0171520560972076,0.65,1.3,2288.96115794451
"95","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.45,0.8,0.65,0.017228627776213,0.65,1.3,2278.69948418556
"96","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.46,0.8,0.65,0.0172912773317629,0.65,1.3,2270.37116754231
"97","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.47,0.8,0.65,0.0173400047638572,0.65,1.3,2263.93519316307
"98","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.48,0.8,0.65,0.017374810072496,0.65,1.3,2259.36016959958
"99","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.49,0.8,0.65,0.0173956932576793,0.65,1.3,2256.62394279528
"100","smri_vol_scs_4thventricle_ROC0_2",1.2704023420832,3.48410000369418,"Additive","Additive",0.5,0.8,0.65,0.0174026543194071,0.65,1.3,2255.71332647714
"101","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.01,0.8,0.65,0.00748105486876177,0.65,1.3,5273.67802726167
"102","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.02,0.8,0.65,0.0148109773159324,0.65,1.3,2653.90958398176
"103","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.03,0.8,0.65,0.0219897673415119,0.65,1.3,1781.00869528403
"104","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.04,0.8,0.65,0.0290174249455002,0.65,1.3,1344.83365052458
"105","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.05,0.8,0.65,0.0358939501278974,0.65,1.3,1083.35640762331
"106","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.06,0.8,0.65,0.0426193428887034,0.65,1.3,909.234548928412
"107","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.07,0.8,0.65,0.0491936032279183,0.65,1.3,785.035847051769
"108","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.08,0.8,0.65,0.0556167311455421,0.65,1.3,692.044406998421
"109","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.09,0.8,0.65,0.0618887266415747,0.65,1.3,619.862714184964
"110","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.1,0.8,0.65,0.0680095897160161,0.65,1.3,562.252454270185
"111","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.11,0.8,0.65,0.0739793203688664,0.65,1.3,515.243977325403
"112","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.12,0.8,0.65,0.0797979186001256,0.65,1.3,476.191030524816
"113","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.13,0.8,0.65,0.0854653844097936,0.65,1.3,443.261768659199
"114","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.14,0.8,0.65,0.0909817177978705,0.65,1.3,415.147903607341
"115","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.15,0.8,0.65,0.0963469187643562,0.65,1.3,390.890194631622
"116","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.16,0.8,0.65,0.101560987309251,0.65,1.3,369.769380435394
"117","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.17,0.8,0.65,0.106623923432554,0.65,1.3,351.235606423923
"118","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.18,0.8,0.65,0.111535727134266,0.65,1.3,334.861376863518
"119","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.19,0.8,0.65,0.116296398414388,0.65,1.3,320.309364924655
"120","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.2,0.8,0.65,0.120905937272918,0.65,1.3,307.309880405748
"121","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.21,0.8,0.65,0.125364343709856,0.65,1.3,295.644775969437
"122","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.22,0.8,0.65,0.129671617725204,0.65,1.3,285.135743335697
"123","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.23,0.8,0.65,0.133827759318961,0.65,1.3,275.635663423224
"124","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.24,0.8,0.65,0.137832768491126,0.65,1.3,267.022119773451
"125","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.25,0.8,0.65,0.1416866452417,0.65,1.3,259.192469611571
"126","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.26,0.8,0.65,0.145389389570683,0.65,1.3,252.060053259142
"127","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.27,0.8,0.65,0.148941001478075,0.65,1.3,245.551246853778
"128","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.28,0.8,0.65,0.152341480963876,0.65,1.3,239.603147638939
"129","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.29,0.8,0.65,0.155590828028086,0.65,1.3,234.161739230816
"130","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.3,0.8,0.65,0.158689042670704,0.65,1.3,229.180424971523
"131","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.31,0.8,0.65,0.161636124891732,0.65,1.3,224.618846364437
"132","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.32,0.8,0.65,0.164432074691168,0.65,1.3,220.441924351404
"133","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.33,0.8,0.65,0.167076892069013,0.65,1.3,216.61907629406
"134","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.34,0.8,0.65,0.169570577025267,0.65,1.3,213.123572628344
"135","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.35,0.8,0.65,0.17191312955993,0.65,1.3,209.932005413986
"136","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.36,0.8,0.65,0.174104549673001,0.65,1.3,207.023847192757
"137","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.37,0.8,0.65,0.176144837364482,0.65,1.3,204.381083257631
"138","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.38,0.8,0.65,0.178033992634371,0.65,1.3,201.987904016109
"139","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.39,0.8,0.65,0.179772015482669,0.65,1.3,199.830446888829
"140","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.4,0.8,0.65,0.181358905909376,0.65,1.3,197.896579326021
"141","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.41,0.8,0.65,0.182794663914492,0.65,1.3,196.175716199934
"142","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.42,0.8,0.65,0.184079289498017,0.65,1.3,194.658666153003
"143","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.43,0.8,0.65,0.185212782659951,0.65,1.3,193.337502532345
"144","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.44,0.8,0.65,0.186195143400293,0.65,1.3,192.205455383597
"145","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.45,0.8,0.65,0.187026371719044,0.65,1.3,191.25682165885
"146","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.46,0.8,0.65,0.187706467616204,0.65,1.3,190.486891350674
"147","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.47,0.8,0.65,0.188235431091773,0.65,1.3,189.891887725033
"148","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.48,0.8,0.65,0.188613262145751,0.65,1.3,189.468920212598
"149","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.49,0.8,0.65,0.188839960778138,0.65,1.3,189.215948847615
"150","smri_vol_scs_bstem_ROC0_2",2.03844748070771,1.05746142012171,"Additive","Additive",0.5,0.8,0.65,0.188915526988934,0.65,1.3,189.13175943065
"151","smri_vol_scs_ccat_ROC0_2",0.772205010586036,3.30323577481703,"Additive","Additive",0.01,0.8,0.65,0.000766677568348131,0.65,1.3,51632.9259555875
"152","smri_vol_scs_ccat_ROC0_2",0.772205010586036,3.30323577481703,"Additive","Additive",0.02,0.8,0.65,0.00151786670097206,0.65,1.3,26070.093314845
"153","smri_vol_scs_ccat_ROC0_2",0.772205010586036,3.30323577481703,"Additive","Additive",0.03,0.8,0.65,0.00225356739787178,0.65,1.3,17552.7699611068
"154","smri_vol_scs_ccat_ROC0_2",0.772205010586036,3.30323577481703,"Additive","Additive",0.04,0.8,0.65,0.0029737796590473,0.65,1.3,13296.9088677753
"155","smri_vol_scs_ccat_ROC0_2",0.772205010586036,3.30323577481703,"Additive","Additive",0.05,0.8,0.65,0.00367850348449861,0.65,1.3,10745.7034894577
"156","smri_vol_scs_ccat_ROC0_2",0.772205010586036,3.30323577481703,"Additive","Additive",0.06,0.8,0.65,0.00436773887422572,0.65,1.3,9046.88748774279
"157","smri_vol_scs_ccat_ROC0_2",0.772205010586036,3.30323577481703,"Additive","Additive",0.07,0.8,0.65,0.00504148582822862,0.65,1.3,7835.20612755456
"158","smri_vol_scs_ccat_ROC0_2",0.772205010586036,3.30323577481703,"Additive","Additive",0.08,0.8,0.65,0.00569974434650732,0.65,1.3,6928.03413290963
"159","smri_vol_scs_ccat_ROC0_2",0.772205010586036,3.30323577481703,"Additive","Additive",0.09,0.8,0.65,0.00634251442906181,0.65,1.3,6223.91497844912
"160","smri_vol_scs_ccat_ROC0_2",0.772205010586036,3.30323577481703,"Additive","Additive",0.1,0.8,0.65,0.0069697960758921,0.65,1.3,5661.97661218122
"161","smri_vol_scs_ccat_ROC0_2",0.772205010586036,3.30323577481703,"Additive","Additive",0.11,0.8,0.65,0.00758158928699819,0.65,1.3,5203.48406274585
